year,office,office_name,source,program,object,object_name,moment,value
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0102   ADMINISTRACIÓN GENERAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0104   SECRETARÍA PARA ASUNTOS LEGISLATIVOS Y JURÍDICOS,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0107   INNOVACIÓN TECNOLÓGICA E INFORMÁTICA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0202   CANAL 10 TELEVISIÓN EDUCATIVA Y CULTURAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0301   ASUNTOS ESTRATÉGICOS,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0103   UNIDAD FINANCIERA INSTITUCIONAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0101   DIRECCIÓN SUPERIOR,54315,GASTOS RESERVADOS,approved,21205270.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0104   SECRETARÍA PARA ASUNTOS LEGISLATIVOS Y JURÍDICOS,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0402   DIVISIÓN DE ASISTENCIA  ALIMENTARIA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0102   ADMINISTRACIÓN GENERAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0105   CONSEJO NACIONAL DE LA JUVENTUD,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0203   RADIO NACIONAL DE EL SALVADOR,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0201   SERVICIO DE COMUNICACIÓN  OFICIAL DE LA PRESIDENCIA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0401   INCLUSIÓN SOCIAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,5 DONACIONES,0102   ADMINISTRACIÓN GENERAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0402   DIVISIÓN DE ASISTENCIA  ALIMENTARIA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0201   SERVICIO DE COMUNICACIÓN  OFICIAL DE LA PRESIDENCIA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0401   INCLUSIÓN SOCIAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0403   CIUDAD MUJER,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0202   CANAL 10 TELEVISIÓN EDUCATIVA Y CULTURAL,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0403   CIUDAD MUJER,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,3 PRESTAMOS EXTERNOS,0107   INNOVACIÓN TECNOLÓGICA E INFORMÁTICA,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0301   ASUNTOS ESTRATÉGICOS,54315,GASTOS RESERVADOS,approved,0.0
2012,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0105   CONSEJO NACIONAL DE LA JUVENTUD,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0104   Secretaría para Asuntos Legislativos y Jurídicos,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0201   Servicio de Comunicación  Oficial de la Presidencia,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0401   Dirección Superior y Apoyo Institucional,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0101   Dirección Superior,54315,GASTOS RESERVADOS,approved,21205270.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0102   Administración General,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0301   Asuntos Estratégicos,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0105   Innovación Tecnológica e Informática,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0404   Programa Ciudad Mujer,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0202   Canal 10 Televisión Educativa y Cultural,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0403   División de Asistencia  Alimentaria,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0402   Implementación de Políticas de Inclusión Social,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0103   Unidad Financiera Institucional,54315,GASTOS RESERVADOS,approved,0.0
2013,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,1001   Dirección y Administración,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,5 DONACIONES,5677   SEG PÚBLICA Y EFICIENCIA POLICIAL 011,54315,GASTOS RESERVADOS,approved,714480.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0201   Servicio de Comunicación  Oficial de la Presidencia,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0104   Secretaría para Asuntos Legislativos y Jurídicos,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0301   Asuntos Estratégicos,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0105   Innovación Tecnológica e Informática,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0101   Dirección Superior,54315,GASTOS RESERVADOS,approved,19643510.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0102   Administración General,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0401   Dirección Superior y Apoyo Institucional,54315,GASTOS RESERVADOS,approved,0.0
2014,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0103   Unidad Financiera Institucional,54315,GASTOS RESERVADOS,approved,0.0
2015,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0102   ADMINISTRACIÓN GENERAL,54315,GASTOS RESERVADOS,approved,0.0
2015,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0301   GOBERNABILIDAD,54315,GASTOS RESERVADOS,approved,0.0
2015,500,PRESIDENCIA DE LA REPUBLICA,1 FONDO GENERAL,0402   IMPLEMENTAC DE POLÍTICA DE INCLUSIÓN SOC,54315,GASTOS RESERVADOS,approved,0.0
