year,office,office_name,approved,modified,accrued,shifted,ratio
2007,2300,Ramo de Gobernación y Desarrollo Territorial,201742640.0,42156821.000000015,42148109.34000001,-159585818.99999997,-79.10366345954428
2007,0700,Ramo de Hacienda,1177667280.0,1176231685.1599998,1170600934.0800002,-1435594.8400000073,-0.1219015645913171
2007,4600,Ramo de Turismo,17535245.0,17285027.71,13544815.510000002,-250217.2899999998,-1.4269392301048534
2007,1900,Procuraduría para la Defensa de los Derechos Human,4382525.0,4207470.999999987,4207455.479999986,-175054.00000000032,-3.9943639796692616
2007,0200,Corte de Cuentas de la República,25180645.0,25180644.999999985,24721978.289999984,1.0186340659856796e-10,4.04530569405859e-16
2007,0400,Tribunal de Servicio Civil,345190.0,510887.0000000001,510800.8000000002,165697.0000000001,48.001680234074016
2007,3300,Ramo de Trabajo y Previsión Social,8930135.0,9278111.430000007,9277999.680000003,347976.43000000017,3.896653634015613
2007,1500,Consejo Nacional de la Judicatura,4023370.0,4424437.999999996,4424353.6599999955,401068.0000000004,9.96845927667603
2007,0100,Organo Legislativo,28443540.0,28868311.43,26700781.13999999,424771.42999999924,1.4933845435554058
2007,0600,Tribunal de Etica Gubernamental,700000.0,1204433.0000000005,1204432.1100000006,504433.0,72.06185714285715
2007,0500,Presidencia de la República,41278609.99999999,42150844.10000001,37562361.750000015,872234.1000000275,2.113041354832509
2007,1800,Procuraduría General de la República,16134905.0,18258975.0,18258861.010000013,2124070.0,13.164440695498362
2007,0300,Tribunal Supremo Electoral,10204795.000000015,14397485.129999997,14397426.459999999,4192690.1300000013,41.08549098732503
2007,1600,Organo Judicial,170111065.0,175061567.0000002,166303640.5400003,4950502.000000003,2.9101587248307466
2007,0800,Ramo de Relaciones Exteriores,31576330.000000045,38133278.00000013,38133229.63000012,6556947.999999976,20.76538977138878
2007,0900,Ramo de la Defensa Nacional,110860520.0,119748410.00000006,119748194.88000008,8887889.999999998,8.017182311611021
2007,1700,Fiscalía General de la República,20070644.999999993,29139411.99999995,29103183.959999952,9068766.999999994,45.184232993010426
2007,4300,Ramo de Obras Públicas y de Transporte,123844945.0,133878660.00000012,133822018.34000014,10033714.999999987,8.10183653438579
2007,4400,Ramo de Medio Ambiente y Recursos Naturales,10469885.0,21911790.00000001,19363391.61,11441905.000000007,109.28396061656844
2007,4200,Ramo de Agricultura y Ganadería,35713644.99999998,49435389.76999995,48886443.20999991,13721744.769999988,38.42157463904902
2007,3200,Ramo de Salud,324240380.0,350650427.4000002,343335378.92000014,26410047.39999997,8.145206158467976
2007,3100,Ramo de Educación,527539245.0,583343098.7499981,575139608.8499976,55803853.75000006,10.578142627094987
2007,4100,Ramo de Economía,42002430.0,144275417.34,144234465.97,102272987.34,243.49302490355916
2007,2400,Ramo de Justicia y Seguridad Pública,0.0,217303269.65999985,205221286.24999976,217303269.65999985,inf
2008,0500,Presidencia de la República,45478819.99999991,38831448.28000001,38139640.94000001,-6647371.719999997,-14.616412035316682
2008,4600,Ramo de Turismo,17535245.0,15694852.740000002,14235553.82,-1840392.2599999998,-10.495389485576048
2008,1600,Organo Judicial,182220000.0,181525587.0000001,178454220.23999992,-694412.999999999,-0.38108495225551475
2008,0100,Organo Legislativo,32756345.0,32421411.34000004,30644659.460000034,-334933.6599999995,-1.022500098835812
2008,0400,Tribunal de Servicio Civil,800000.0,555028.0000000006,553738.0400000006,-244972.0,-30.6215
2008,1900,Procuraduría para la Defensa de los Derechos Human,5728650.0,5543789.000000004,5543666.530000006,-184861.00000000044,-3.226955740008561
