"year","muni_contab_id","account","amount"
"2010","8106","858","70387.9375"
"2010","8106","859","53735.298278808594"
"2010","8107","211","1038918.4868774414"
"2010","8107","212","15172.25"
"2010","8107","213","14340.75390625"
"2010","8107","222","38113.62890625"
"2010","8107","225","282678.6291503906"
"2010","8107","226","2034"
"2010","8107","231","1596"
"2010","8107","241","201942.1240234375"
"2010","8107","243","302413.625"
"2010","8107","251","3538.89990234375"
"2010","8107","252","0"
"2010","8107","412","10169.8095703125"
"2010","8107","413","4033.5"
"2010","8107","422","1308351.4921875"
"2010","8107","424","13996.41064453125"
"2010","8107","811","276276.125"
"2010","8107","831","1248950.5"
"2010","8107","833","215424.53125"
"2010","8107","834","218843.802734375"
"2010","8107","836","110136.67065429688"
"2010","8107","837","43702.1689453125"
"2010","8107","838","42058.69921875"
"2010","8107","839","8957.2802734375"
"2010","8107","851","714.719970703125"
"2010","8107","856","410708.59375"
"2010","8107","857","1701998"
"2010","8107","858","59227.48828125"
"2010","8107","859","3345.9090576171875"
"2010","8108","211","708095.9140625"
"2010","8108","212","0"
"2010","8108","213","120358.966796875"
"2010","8108","222","38285.7109375"
"2010","8108","225","170665.046875"
"2010","8108","231","3322.26953125"
"2010","8108","241","729408.5625"
"2010","8108","243","266232.734375"
"2010","8108","252","0"
"2010","8108","412","6361.03946018219"
"2010","8108","413","90748.61328125"
"2010","8108","422","282213.015625"
"2010","8108","424","-0.001678466796875"
"2010","8108","811","890220.25"
"2010","8108","831","781402.830078125"
"2010","8108","833","835337.40625"
"2010","8108","834","729476.1328125"
"2010","8108","835","12223.66015625"
"2010","8108","836","37601.12109375"
"2010","8108","837","21741.7607421875"
"2010","8108","838","63758"
"2010","8108","839","89.36000061035156"
"2010","8108","851","243163.2572669983"
"2010","8108","856","486499.30375671387"
"2010","8108","857","1906392.0625"
"2010","8108","858","610767.8598632812"
"2010","8108","859","1634.249951183796"
"2010","8109","211","497517.4703063965"
"2010","8109","212","114.45000076293945"
"2010","8109","213","14473.4609375"
"2010","8109","222","38091.4296875"
"2010","8109","225","174210.22900390625"
"2010","8109","231","3907.590087890625"
"2010","8109","241","24195.6396484375"
"2010","8109","243","135001.375"
"2010","8109","251","91006.53125"
"2010","8109","252","8385.337890625"
"2010","8109","412","5231.330017089844"
"2010","8109","413","1925.9700317382812"
"2010","8109","422","964481.6875"
"2010","8109","424","1390.97998046875"
"2010","8109","811","-15151.41015625"
"2010","8109","831","1294430.970703125"
"2010","8109","833","168576.171875"
"2010","8109","834","90349.84375"
"2010","8109","835","381.05999755859375"
"2010","8109","836","97432.5712890625"
"2010","8109","837","314079.37890625"
"2010","8109","838","4369.5498046875"
"2010","8109","839","341.44000244140625"
"2010","8109","851","6359.14013671875"
"2010","8109","856","460544.328125"
"2010","8109","857","1288367.125"
"2010","8109","858","60575.37890625"
"2010","8109","859","183139.93994140625"
"2010","8110","211","169194.375"
"2010","8110","212","5385.55078125"
"2010","8110","213","74436.986328125"
"2010","8110","222","38285.7109375"
"2010","8110","225","-0.00244140625"
"2010","8110","241","134690.826171875"
"2010","8110","243","42200.8984375"
"2010","8110","251","98528.982421875"
"2010","8110","252","0"
"2010","8110","412","1895.499984741211"
"2010","8110","413","11570.7802734375"
"2010","8110","422","350299.7734375"
"2010","8110","424","-0.00048828125"
"2010","8110","811","139756.71069335938"
"2010","8110","831","305137.0703125"
"2010","8110","833","165726.57421875"
"2010","8110","834","203635.5234375"
"2010","8110","836","55265.43054199219"
"2010","8110","837","31569.45947265625"
"2010","8110","838","6854.669921875"
"2010","8110","839","66897.85986328125"
"2010","8110","851","6544.8800048828125"
"2010","8110","856","148132.6875"
"2010","8110","857","659407.4453125"
"2010","8110","858","74291.701171875"
"2010","8110","859","5910.45947265625"
"2010","8111","211","320637.8415527344"
"2010","8111","212","1060.2600002288818"
