year,contab,class,kind,group,amount,id,shp,department,municipality,population
2013,8101,ACR,Ingresos,INGPRP,3803864.598007679,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Ingresos,TRFREC,3164803.961933613,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,AMTDEU,216113.15625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,GASTOS,5193553.734375,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,INVERS,3124791.681640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,INGDEU,743507.3125,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,INGPRP,4747635.451171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,TRFREC,3043315.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,AMTDEU,231113.15625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,GASTOS,5017398.3515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,INVERS,4544117.810546875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,INGDEU,1487014.640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,INGPRP,4747635.451171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,TRFREC,3557979.16796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,AMTDEU,261990.25,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,GASTOS,4549758.636907518,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,INVERS,3239991.8735752106,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,INGDEU,881023.2509765625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,INGPRP,3872704.8514966965,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,TRFREC,3135131.305078203,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,AMTDEU,239749.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,GASTOS,5938003.650390625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,INVERS,2649779.9892578125,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Ingresos,INGPRP,5723405.3046875,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Ingresos,TRFREC,3104127.875,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Egresos,AMTDEU,239749.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Egresos,GASTOS,5567419.380371094,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Egresos,INVERS,3878738.759765626,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Ingresos,INGDEU,597886.8134765625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Ingresos,INGPRP,5732405.3046875,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,MOD,Ingresos,TRFREC,3355615.5634765625,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Egresos,AMTDEU,288452.609375,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Egresos,GASTOS,4682011.1972468365,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Egresos,INVERS,1984073.8133277893,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Ingresos,INGDEU,279598.46875,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Ingresos,INGPRP,3936585.256655624,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,ACR,Ingresos,TRFREC,3207598.9742747303,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Egresos,AMTDEU,349334.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Egresos,GASTOS,5365039.6875,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Egresos,INVERS,2752888.6103515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Ingresos,INGPRP,5183539.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,APR,Ingresos,TRFREC,3283723.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Egresos,AMTDEU,349334.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Egresos,GASTOS,5153056.189697266,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Egresos,INVERS,3366802.6103515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Ingresos,INGDEU,279598.5,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Ingresos,INGPRP,5183539.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2015,8101,MOD,Ingresos,TRFREC,3406055.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Egresos,AMTDEU,300991.720703125,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Egresos,GASTOS,5153269.816285372,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Egresos,INVERS,1361338.5257034302,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Ingresos,INGDEU,720000.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Ingresos,INGPRP,4442232.546451569,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,ACR,Ingresos,TRFREC,3413968.32926178,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Egresos,AMTDEU,349334.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Egresos,GASTOS,5781649.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Egresos,INVERS,2269166.703125,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Ingresos,INGPRP,5399335.26171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,APR,Ingresos,TRFREC,3000815.1875,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Egresos,AMTDEU,1052158.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Egresos,GASTOS,5816502.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Egresos,INVERS,2396643.04296875,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Ingresos,INGDEU,720000.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Ingresos,INGPRP,5399335.26171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2016,8101,MOD,Ingresos,TRFREC,3145968.53125,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Egresos,AMTDEU,2554512.68359375,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Egresos,GASTOS,5933134.813941002,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Egresos,INVERS,4010123.155548096,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Ingresos,INGDEU,4746556.828125,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Ingresos,INGPRP,4426090.533233643,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,ACR,Ingresos,TRFREC,3076702.4711971283,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Egresos,AMTDEU,253812.234375,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Egresos,GASTOS,5948469.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Egresos,INVERS,2248266.4296875,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Ingresos,INGPRP,5150981.822265625,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,APR,Ingresos,TRFREC,3299565.875,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Egresos,AMTDEU,2768849.171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Egresos,GASTOS,6365300.803665161,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Egresos,INVERS,6464389.796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Ingresos,INGDEU,6989638.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Ingresos,INGPRP,5150981.822265625,1101,1,Ahuachapán,Ahuachapán,110511.0
2017,8101,MOD,Ingresos,TRFREC,3457919.2265625,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,ACR,Egresos,AMTDEU,370086.4736328125,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,ACR,Egresos,GASTOS,5868587.927560091,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,ACR,Egresos,INVERS,1119351.4170913696,1101,1,Ahuachapán,Ahuachapán,110511.0
