"code","funding","fundpop","fundeq","fundpov","fundter","pop","popurb","cases","shp2","dep","mun","area","party","trfpop","dens","infpop","quintile","grp","agr"
915,377715.15,146670.01527923,182919.845496183,37320.6067582119,10804.6714180804,4264,39.1,46,53,"Chalatenango","San Rafael",23.72,"ARENA",88.5823522514071,0.179763912310287,10.7879924953096,1,5,5
921,405705.95,153123.767544875,182919.845496183,45456.5848518656,24205.7495007079,5985,6.7,37,54,"Chalatenango","Santa Rita",53.14,"ARENA",67.7871261487051,0.112627022958224,6.18212197159566,2,2,3
904,756842.33,394755.654887594,182919.845496183,130208.701790626,48958.1130360572,13608,39.9,64,55,"Chalatenango","Tejutla",107.48,"GANA",55.6174551734274,0.126609601786379,4.70311581422693,4,2,3
1007,624034.7,327239.212038005,182919.845496183,97144.7877867953,16730.8455769853,10090,35.7,54,56,"Cuscatlán","Candelaria",36.73,"PCN",61.8468483647175,0.274707323713586,5.35183349851338,3,2,3
1001,1389351.14,929360.729754727,182919.845496183,262753.90696792,14316.653590652,50315,81.6,569,57,"Cuscatlán","Cojutepeque",31.43,"PCN",27.613060518732,1.60085905186128,11.3087548444798,5,3,2
1008,727969.83,380784.979340965,182919.845496183,161486.389173328,2778.60134276097,13345,15.5,61,58,"Cuscatlán","El Carmen",6.1,"ARENA",54.5500059947546,2.18770491803279,4.57100037467216,4,2,3
1014,356754.6,124965.025764773,182919.845496183,42396.9453492239,6472.78819354646,4220,10.1,5,59,"Cuscatlán","El Rosario",14.21,"ARENA",84.5390047393365,0.296973961998593,1.18483412322275,1,4,4
1009,582278.66,280262.690178076,182919.845496183,106970.472780919,12125.6553351307,10224,15.7,69,60,"Cuscatlán","Monte San Juan",26.62,"ARENA",56.9521381064163,0.384072126220887,6.74882629107981,3,2,3
1015,301720.9,80434.1341318244,182919.845496183,27288.9301214901,11077.9784354011,3578,24,6,61,"Cuscatlán","Oratorio de Concepción",24.32,"PCN",84.3266908887647,0.147121710526316,1.67691447736165,1,4,4
1012,421465.01,192185.952836935,182919.845496183,40751.8893642819,5607.31597203074,8058,58.1,53,62,"Cuscatlán","San Bartolomé Perulapía",12.31,"ARENA",52.3039228096302,0.654589764419171,6.57731447009183,2,2,3
1010,515571.19,242185.550810772,182919.845496183,82166.4145718854,8299.37709264014,8316,10.4,36,63,"Cuscatlán","San Cristóbal",18.22,"ARENA",61.9974975949976,0.45642151481888,4.32900432900433,2,2,3
1004,653433.15,336783.978757195,182919.845496183,114260.870635378,19468.4578671482,9300,30.9,51,64,"Cuscatlán","San José Guayabal",42.74,"ARENA",70.2616290322581,0.217594759007955,5.48387096774194,3,2,3
1003,1232094.24,707793.215024199,182919.845496183,300166.702713029,41214.4642119693,44730,33.5,194,65,"Cuscatlán","San Pedro Perulapán",90.48,"ARENA-PCN",27.5451428571429,0.494363395225464,4.3371339145987,5,2,3
1006,639499.73,358743.717045297,182919.845496183,84521.6444715178,13314.5278604759,17069,31.4,92,66,"Cuscatlán","San Rafael Cedros",29.23,"ARENA",37.4655650594645,0.583954840916866,5.38988810123616,3,2,3
1013,394118.53,157335.694602454,182919.845496183,46706.9404866552,7156.04573684833,6292,20,35,67,"Cuscatlán","San Ramón",15.71,"PCN",62.6380371900827,0.400509229789943,5.56261919898284,2,2,3
1016,288338.45,77139.3246593637,182919.845496183,22899.7081984443,5379.56012426345,2585,69.9,17,68,"Cuscatlán","Santa Cruz Analquito",11.81,"PCN",111.542920696325,0.218882303132938,6.57640232108317,1,5,5
1011,633912.68,337701.086342313,182919.845496183,100250.511782886,13041.2208431552,11790,56.5,67,69,"Cuscatlán","Santa Cruz Michapa",28.63,"ARENA",53.7669787955895,0.411805798113867,5.68278201865988,3,2,3
1002,896258.51,423400.121796111,182919.845496183,139656.97936964,150281.56259077,24786,30.9,114,70,"Cuscatlán","Suchitoto",329.32,"FMLN",36.1598688775922,0.075264180736062,4.59937061244251,4,2,3
1005,450666.08,181146.642645701,182919.845496183,69139.9294389338,17459.6642898407,6782,13.5,18,71,"Cuscatlán","Tenancingo",38.33,"FMLN",66.4503214391035,0.176937124967388,2.65408434090239,2,2,3
407,998309.72,765944.92375464,182919.845496183,40603.5208384946,8841.4290103263,33698,100,869,72,"La Libertad","Antiguo Cuscatlán",19.41,"ARENA",29.6251919995252,1.73611540443071,25.787880586385,4,1,1
414,705311.41,335907.628175861,182919.845496183,142454.437690794,44029.512490373,10897,7.1,35,73,"La Libertad","Chiltiupán",96.66,"ARENA",64.7252831054419,0.112735361059383,3.21189318160962,4,2,3
403,1512626.68,946228.801486933,182919.845496183,343958.061489069,39519.9667045806,60314,68.8,230,74,"La Libertad","Ciudad Arce",86.76,"ARENA",25.0791968697152,0.695182111572153,3.81337666213483,5,2,3
405,1659890.46,1010250.02876213,182919.845496183,428435.045045059,38285.5430096819,96989,94,1051,75,"La Libertad","Colón",84.05,"ARENA",17.1142135706111,1.15394408090422,10.8362804029323,5,3,2
408,674714.55,332330.888593901,182919.845496183,125277.85456956,34185.9577498706,11870,24.2,48,76,"La Libertad","Comasagua",75.05,"ARENA",56.84200084246,0.158161225849434,4.04380791912384,3,2,3
411,608598.84,312667.318185576,182919.845496183,92818.9532922411,20192.7144630482,14465,33.5,58,77,"La Libertad","Huizúcar",44.33,"ARENA",42.07389146215,0.326302729528536,4.00967853439336,3,2,3
410,651642.59,348533.202597651,182919.845496183,98539.2012136113,21650.3518887588,11058,62.3,44,78,"La Libertad","Jayaque",47.53,"ARENA",58.9295161873757,0.23265306122449,3.97901971423404,3,2,3
422,461678.44,187600.394911346,182919.845496183,71603.187682586,19555.0080892998,5116,8.2,14,79,"La Libertad","Jicalapa",42.93,"ARENA",90.2420719311963,0.119170743070114,2.73651290070367,2,4,4
415,400777.75,173877.680304396,182919.845496183,36869.7268691691,7110.49456729488,6897,59.1,147,82,"La Libertad","Nuevo Cuscatlán",51.61,"FMLN-CD-PSD-PSP",58.1089966652168,0.133636892075179,21.31361461505,2,1,1
406,1345700.57,798668.84995844,182919.845496183,290319.414050101,73792.4746766028,35997,64.2,290,80,"La Libertad","Puerto de La Libertad",162,"ARENA",37.3836866961136,0.222203703703704,8.05622690779787,5,3,2
402,1527955.1,951615.983820256,182919.845496183,336307.539154544,57111.7323861263,52643,68.7,558,84,"La Libertad","Quezaltepeque",125.38,"ARENA",29.0248485078738,0.419867602488435,10.5996998651293,5,3,2
417,598924.94,311920.046449554,182919.845496183,92597.1122925204,11487.9389613822,12299,80.3,50,85,"La Libertad","Sacacoyo",25.22,"ARENA",48.6970436620863,0.48766851704996,4.06537116838767,3,2,3
418,527407.44,246159.703679616,182919.845496183,83514.7235052529,14813.1543387847,13576,79.1,348,86,"La Libertad","San José Villanueva",32.52,"ARENA",38.8485150265174,0.417466174661747,25.633470830878,3,1,1
404,1607569.34,878066.98441078,182919.845496183,446853.34233356,99729.1586203421,74280,60.6,385,83,"La Libertad","San Juan Opico",218.94,"ARENA",21.642021270867,0.33927103315977,5.18309100700054,5,2,3
421,530972.45,249930.051529545,182919.845496183,74194.6543611418,23927.8903664318,7314,16,24,87,"La Libertad","San Matías",52.53,"ARENA",72.5967254580257,0.13923472301542,3.28137817883511,3,2,3
409,1029359.99,571880.589826704,182919.845496183,215580.237235099,58979.3203378181,20366,27.6,77,88,"La Libertad","San Pablo Tacachico",129.48,"ARENA",50.5430614750074,0.157290701266605,3.78081115584798,5,2,3
401,947792.42,386199.343010142,182919.845496183,327565.114756459,51108.1222389805,121908,89.3,3785,81,"La Libertad","Santa Tecla",112.2,"ARENA",7.77465318108738,1.08652406417112,31.0480034124094,4,1,1
420,469263.28,210358.358690198,182919.845496183,62447.336421385,13537.7315912879,8254,59.2,30,89,"La Libertad","Talnique",59.04,"ARENA",56.8528325660286,0.13980352303523,3.63460140537921,2,2,3
416,689142.58,348105.219057929,182919.845496183,131224.254224412,26893.2585043619,13544,29.2,77,90,"La Libertad","Tamanique",29.72,"GANA-FMLN-CD",50.8817616656822,0.455720053835801,5.685174246899,3,2,3
413,763000.65,372255.838799368,182919.845496183,157869.285015544,49955.686649278,12320,10.4,15,91,"La Libertad","Teotepeque",109.67,"ARENA",61.9318709415584,0.112337011033099,1.21753246753247,4,2,3
412,651377.1,331322.060250271,182919.845496183,109285.362498784,27849.8230649845,14322,57.9,43,92,"La Libertad","Tepecoyo",61.14,"GANA",45.4808755760369,0.234249263984298,3.00237397011591,3,2,3
419,759271.21,441253.239453073,182919.845496183,124753.512206584,10344.6076055904,22525,80.1,203,93,"La Libertad","Zaragoza",22.71,"ARENA",33.7079338512764,0.99185380889476,9.01220865704772,4,3,2
817,357942.82,141167.339768523,182919.845496183,29933.6991830957,3921.93269855278,5590,60.2,47,94,"La Paz","Cuyultitán",8.61,"ARENA",64.0327048300537,0.64924506387921,8.40787119856887,1,2,3
809,621160.91,332775.856718532,182919.845496183,84675.7773089861,20789.4317841985,16784,55.9,63,95,"La Paz","El Rosario",10.61,"GANA",37.0091104623451,1.58190386427898,3.75357483317445,3,2,3
820,278819.09,69394.82394059,182919.845496183,23543.6175288025,2960.8060209748,2570,17.4,36,96,"La Paz","Jerusalén",45.64,"ARENA",108.489918287938,0.056310254163015,14.0077821011673,1,5,5
821,214171.09,21059.6152878932,182919.845496183,5358.67986338383,4832.95608962195,637,76.1,6,97,"La Paz","Mercedes La Ceiba",6.5,"GANA",336.218351648352,0.098,9.41915227629513,1,5,5
805,850871.19,488881.933373531,182919.845496183,138219.348605216,40850.0548555416,29529,53.9,179,98,"La Paz","Olocuilta",89.68,"ARENA",28.8147648074774,0.329270740410348,6.06183751566257,4,2,3
818,311179.63,99625.5550796625,182919.845496183,25350.0142408141,3284.21632480436,2727,64.2,14,99,"La Paz","Paraíso de Osorio",7.21,"ARENA",114.110608727539,0.378224687933426,5.13384671800513,1,4,4
813,368495.45,137464.930258232,182919.845496183,34978.3490598619,13132.3231822621,4258,25.9,23,100,"La Paz","San Antonio Masahuat",28.83,"FMLN",86.5419093471113,0.147693374956642,5.40159699389385,1,2,3
819,305886.15,91337.577643782,182919.845496183,27114.6271931381,4514.09790274774,2818,48.7,3,101,"La Paz","San Emigdio",9.91,"ARENA",108.547249822569,0.284359233097881,1.06458481192335,1,4,4
807,482794.5,210120.594501463,182919.845496183,71287.7241180481,18466.3421369721,7387,36,30,102,"La Paz","San Francisco Chinameca",40.54,"ARENA",65.3573169080818,0.182215096201283,4.06118857452281,2,2,3
803,638576.19,334042.832752787,182919.845496183,94442.3956083792,27171.117638638,17256,44,96,103,"La Paz","San Juan Nonualco",59.65,"ARENA",37.0060378998609,0.289287510477787,5.56328233657858,3,2,3
808,482459.71,231825.584015921,182919.845496183,49157.236529025,18557.444476079,7707,58.9,42,104,"La Paz","San Juan Talpa",40.74,"ARENA",62.6001959257818,0.189175257731959,5.44959128065395,2,2,3
815,320489.59,103158.138740858,182919.845496183,26248.8868630592,8162.72358397977,3630,36.4,21,105,"La Paz","San Juan Tepezontes",17.92,"ARENA",88.2891432506887,0.202566964285714,5.78512396694215,1,2,3
822,940561.68,515692.185111812,182919.845496183,194399.057495531,47550.5988968554,20405,42.7,57,106,"La Paz","San Luis La Herradura",104.39,"GANA",46.094666993384,0.195468914646997,2.79343298211223,4,2,3
812,839442.47,471089.956222243,182919.845496183,155387.290258928,30045.3834374612,21675,61,198,107,"La Paz","San Luis Talpa",65.96,"GANA",38.7286029988466,0.32860824742268,9.13494809688581,4,3,2
814,407893.07,157233.787092996,182919.845496183,46676.6853503296,21062.7388015192,5084,50.5,21,108,"La Paz","San Miguel Tepezontes",46.24,"ARENA",80.2307376081825,0.109948096885813,4.13060582218725,2,2,3
804,1042709.47,586761.585124488,182919.845496183,217733.796225895,55294.2477209433,25446,51.5,98,109,"La Paz","San Pedro Masahuat",121.39,"ARENA",40.9773430008646,0.20962187989126,3.85129293405643,5,2,3
806,597278.28,320309.921394892,182919.845496183,81503.7787285637,12544.7200950225,9252,33.7,37,110,"La Paz","San Pedro Nonualco",27.54,"ARENA",64.5566666666667,0.335947712418301,3.99913532209252,3,2,3
810,576113.46,309440.447052753,182919.845496183,78738.0091216559,5015.15076783578,9820,52.1,72,111,"La Paz","San Rafael Obrajuelo",11.01,"GANA",58.6673584521385,0.891916439600363,7.33197556008147,3,2,3
811,443233.43,192253.891176574,182919.845496183,57072.8172008783,10986.8760962942,5990,25.9,27,112,"La Paz","Santa María Ostuma",24.12,"ARENA",73.9955642737897,0.248341625207297,4.50751252086811,2,2,3
802,1295232.56,773845.674654582,182919.845496183,281296.081957565,57170.9499065458,39887,30.1,143,113,"La Paz","Santiago Nonualco",121.51,"GANA",32.472548950786,0.328261048473377,3.58512798656204,5,2,3
816,348549.15,122689.231386888,182919.845496183,36421.7341359669,6518.33936309992,3809,19.3,10,114,"La Paz","Tapalhuaca",14.31,"FMLN",91.506734050932,0.26617749825297,2.62536098713573,1,4,4
801,1810594.33,981717.646114015,182919.845496183,499601.758617805,146355.067775262,65826,64,606,115,"La Paz","Zacatecoluca",321.3,"FMLN",27.5057626165953,0.204873949579832,9.20608877950962,5,3,2
713,420706,170820.635020669,182919.845496183,43465.8001660601,23499.7113726292,4215,12.3,17,116,"La Unión","Anamorós",108,"ARENA",99.81162514828,0.039027777777778,4.03321470937129,2,4,4
714,508027.11,219359.648692281,182919.845496183,74422.2596725436,31325.3583019134,8179,12.1,35,117,"La Unión","Bolívar",51.59,"ARENA",62.1135970167502,0.158538476448924,4.27925174226678,2,2,3
707,1502830.89,792534.385889096,182919.845496183,432134.263144298,95242.3934193264,37362,12.4,264,118,"La Unión","Concepción de Oriente",68.77,"FMLN",40.2235129275735,0.543289224952741,7.06600289063755,5,2,3
706,861545.35,474208.142011644,182919.845496183,156415.814893997,48001.5484754346,12324,45.6,61,119,"La Unión","Conchagua",200.64,"ARENA",69.9079316780266,0.061423444976077,4.94969165855242,4,2,3
708,636468.28,298197.331842604,182919.845496183,88523.3639340125,66827.737851879,6546,14.5,44,120,"La Unión","El Carmen",105.38,"PDC",97.2301069355332,0.062118048965648,6.72166208371525,3,5,5
715,563915.82,244597.221867934,182919.845496183,93357.70143442,43041.053111063,7567,13.7,53,121,"La Unión","El Sauce",146.71,"ARENA",74.5230368706224,0.051577942880513,7.00409673582662,3,2,3
701,1391923.05,877441.993686107,182919.845496183,265794.809957599,65766.4046012834,34045,38,690,122,"La Unión","Intipucá",94.49,"PCN",40.8848009986782,0.360302677532014,20.2672932882949,5,1,1
709,848144.82,421565.906625875,182919.845496183,198645.66520447,45013.4097527277,13385,53,43,123,"La Unión","La Unión",144.43,"ARENA",63.3653208815839,0.092674652080593,3.21255136346657,4,2,3
718,343731.96,114401.253951007,182919.845496183,38812.9734836059,7597.89108151688,2398,4.8,22,124,"La Unión","Lislique",98.82,"ARENA",143.341100917431,0.024266342845578,9.1743119266055,1,5,5
705,877506.9,468705.466500937,182919.845496183,176686.603387959,49194.9831177352,14551,18.8,72,"NA","La Unión","Meanguera del Golfo",25.13,"ARENA",60.3056078620026,0.579029048945483,4.94811353171603,4,2,3
711,782022.66,406586.402735616,182919.845496183,153269.75071614,39246.6596872599,9637,14,74,125,"La Unión","Nueva Esparta",86.16,"ARENA",81.1479360796928,0.111850046425255,7.67873819653419,4,2,3
703,1118788.35,584478.992912639,182919.845496183,216886.782408779,134502.729457452,16375,21.7,153,126,"La Unión","Pasaquina",295.23,"ARENA",68.3229526717557,0.055465230498256,9.34351145038168,5,2,3
712,684513.92,321294.967319648,182919.845496183,122631.641930035,57667.4506546785,9701,10.5,45,127,"La Unión","Polorós",126.6,"ARENA",70.5611710132976,0.076627172195893,4.63869704154211,3,2,3
704,1146748.22,619370.018150903,182919.845496183,229834.040756116,114624.311064323,17598,16.9,100,128,"La Unión","San Alejo",251.64,"ARENA",65.1635538129333,0.069933237958989,5.68246391635413,5,2,3
716,378591.99,135019.290031251,182919.845496183,40082.0556313589,20570.7901703419,2971,27.4,22,129,"La Unión","San José las Fuentes",45.16,"GANA",127.429145069,0.065788308237378,7.40491417031303,1,5,5
702,1126833.73,671706.5510083,182919.845496183,213647.085666105,58560.2455779263,27693,49.3,577,130,"La Unión","Santa Rosa de Lima",128.56,"ARENA",40.6902007727585,0.215409147479776,20.8355902213556,5,1,1
717,448181.06,183830.047061416,182919.845496183,62368.1096357705,19063.0594581224,6871,42.2,39,131,"La Unión","Yayantique",41.86,"ARENA",65.2279231552904,0.164142379359771,5.67602969000146,2,2,3
710,591031.22,295310.122407973,182919.845496183,87666.2650714551,25134.9913595984,6799,17.3,16,132,"La Unión","Yucuaiquín",55.18,"FMLN",86.9291395793499,0.12321493294672,2.35328724812472,3,4,4
1216,321297.81,62499.492467296,182919.845496183,23854.7703595796,52023.697747005,1821,14.2,9,133,"Morazán","Arambala",114.21,"ARENA",176.440313014827,0.015944313107434,4.94233937397035,1,5,5
